[2025-07-21 22:47:17,370][__main__][INFO] - — Optimising with AugLagLoss + FIRE —
[2025-07-21 22:47:20,924][__main__][INFO] - step  205 | loss = 130430912647160397824.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=9.766e+06 | scale_scatt=1.953e+05 | rho=9.537e+10 | lambda_corr=6.116e+14 | 
[2025-07-21 22:47:20,992][__main__][INFO] - step  210 | loss = 291495573842485575680.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=2.184e+07 | scale_scatt=4.367e+05 | rho=4.768e+11 | lambda_corr=1.259e+15 | 
[2025-07-21 22:47:21,058][__main__][INFO] - step  215 | loss = 292852846180184358912.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=2.184e+07 | scale_scatt=4.367e+05 | rho=4.768e+11 | lambda_corr=3.058e+15 | 
[2025-07-21 22:47:21,129][__main__][INFO] - step  220 | loss = 654054818395761672192.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=4.883e+07 | scale_scatt=9.766e+05 | rho=2.384e+12 | lambda_corr=6.296e+15 | 
[2025-07-21 22:47:21,200][__main__][INFO] - step  225 | loss = 660841180084255588352.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=4.883e+07 | scale_scatt=9.766e+05 | rho=2.384e+12 | lambda_corr=1.529e+16 | 
[2025-07-21 22:47:21,274][__main__][INFO] - step  230 | loss = 1473765260410115588096.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=1.092e+08 | scale_scatt=2.184e+06 | rho=1.192e+13 | lambda_corr=3.148e+16 | 
[2025-07-21 22:47:21,342][__main__][INFO] - step  235 | loss = 1507697209590073524224.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=1.092e+08 | scale_scatt=2.184e+06 | rho=1.192e+13 | lambda_corr=7.645e+16 | 
[2025-07-21 22:47:21,410][__main__][INFO] - step  240 | loss = 3351710854453200420864.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=2.441e+08 | scale_scatt=4.883e+06 | rho=5.960e+13 | lambda_corr=1.574e+17 | 
[2025-07-21 22:47:21,479][__main__][INFO] - step  245 | loss = 3521370178140525035520.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=2.441e+08 | scale_scatt=4.883e+06 | rho=5.960e+13 | lambda_corr=3.823e+17 | 
[2025-07-21 22:47:21,559][__main__][INFO] - step  250 | loss = 7776009692210073174016.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=5.459e+08 | scale_scatt=1.092e+07 | rho=2.980e+14 | lambda_corr=7.870e+17 | 
[2025-07-21 22:47:21,628][__main__][INFO] - step  255 | loss = 8624307155071626379264.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=5.459e+08 | scale_scatt=1.092e+07 | rho=2.980e+14 | lambda_corr=1.911e+18 | 
[2025-07-21 22:47:21,695][__main__][INFO] - step  260 | loss = 18794469252738641297408.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=1.221e+09 | scale_scatt=2.441e+07 | rho=1.490e+15 | lambda_corr=3.935e+18 | 
[2025-07-21 22:47:21,775][__main__][INFO] - step  265 | loss = 23035957129996360744960.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=1.221e+09 | scale_scatt=2.441e+07 | rho=1.490e+15 | lambda_corr=9.557e+18 | 
[2025-07-21 22:47:21,860][__main__][INFO] - step  270 | loss = 49059620267188818018304.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=2.730e+09 | scale_scatt=5.459e+07 | rho=7.451e+15 | lambda_corr=1.968e+19 | 
[2025-07-21 22:47:21,944][__main__][INFO] - step  275 | loss = 70267052898077974200320.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=2.730e+09 | scale_scatt=5.459e+07 | rho=7.451e+15 | lambda_corr=4.778e+19 | 
[2025-07-21 22:47:22,029][__main__][INFO] - step  280 | loss = 144870198538986026172416.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=6.104e+09 | scale_scatt=1.221e+08 | rho=3.725e+16 | lambda_corr=9.838e+19 | 
[2025-07-21 22:47:22,102][__main__][INFO] - step  285 | loss = 250907406729428080787456.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=6.104e+09 | scale_scatt=1.221e+08 | rho=3.725e+16 | lambda_corr=2.389e+20 | 
[2025-07-21 22:47:22,175][__main__][INFO] - step  290 | loss = 499787364964208002203648.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=1.365e+10 | scale_scatt=2.730e+08 | rho=1.863e+17 | lambda_corr=4.919e+20 | 
[2025-07-21 22:47:22,255][__main__][INFO] - step  295 | loss = 1029973306837226473127936.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=1.365e+10 | scale_scatt=2.730e+08 | rho=1.863e+17 | lambda_corr=1.195e+21 | 
[2025-07-21 22:47:22,334][__main__][INFO] - step  300 | loss = 1996797067641869813415936.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=3.052e+10 | scale_scatt=6.104e+08 | rho=9.313e+17 | lambda_corr=2.459e+21 | 
